feature,importance
cannon,719
weight,662
birth_month,628
trainer_smooth_mean,600
trainer_smooth_over200,570
sire_smooth_over200,544
height,444
chest,415
sire_smooth_mean,414
sibling_mean,321
sire_count,244
sibling_count,229
total_price_man,218
trainer_count,164
sex_num,117
price_per_kuchi_man,43
sibling_over200,21
sibling_over100,16
