feature,importance
trainer_smooth_over200,837
cannon,814
weight,620
sire_smooth_over200,502
height,501
price_man,450
trainer_count,408
chest,356
birth_month,350
sire_smooth_mean,304
trainer_smooth_mean,245
sire_count,239
farm_count,137
sex_num,100
farm_smooth_mean,0
farm_smooth_over200,0
