feature,importance
nick_smooth_mean,679
nick_smooth_over200,596
trainer_smooth_over200,516
trainer_count,511
weight,478
price_man,436
trainer_smooth_mean,415
nick_count,404
cannon,329
bms_name_smooth_mean,292
bms_name_count,239
height,230
chest,222
bms_name_smooth_over200,214
sire_smooth_over200,169
sire_smooth_mean,111
sire_count,94
sex_num,67
birth_month,59
farm_smooth_mean,32
farm_count,23
club_name_smooth_mean,4
farm_smooth_over200,1
club_name_smooth_over200,0
club_name_count,0
