feature,importance
trainer_smooth_over200,626
bms_name_smooth_over200,525
sire_smooth_over200,450
bms_name_smooth_mean,449
price_man,349
trainer_count,337
bms_name_count,306
sire_smooth_mean,259
cannon,237
birth_month,218
weight,212
height,207
chest,202
farm_count,151
sire_count,104
trainer_smooth_mean,102
sex_num,45
farm_smooth_over200,0
farm_smooth_mean,0
