feature,importance
nick_smooth_mean,690
trainer_smooth_over200,360
nick_smooth_over200,291
nick_count,157
bms_name_smooth_over200,155
trainer_count,144
birth_month,126
bms_name_smooth_mean,123
cannon,100
bms_name_count,91
chest,85
height,73
weight,68
sire_smooth_over200,38
sire_smooth_mean,36
trainer_smooth_mean,29
sire_count,24
price_man,24
sex_num,21
farm_count,0
farm_smooth_over200,0
farm_smooth_mean,0
