feature,importance
nick_smooth_mean,615
bms_name_count,210
trainer_smooth_over200,191
nick_smooth_over200,143
birth_month,90
bms_name_smooth_mean,56
nick_count,54
price_man,53
bms_name_smooth_over200,52
sire_smooth_over200,30
trainer_count,21
height,13
sire_smooth_mean,6
chest,4
cannon,2
sire_count,0
trainer_smooth_mean,0
weight,0
farm_smooth_mean,0
farm_smooth_over200,0
farm_count,0
sex_num,0
