feature,importance
nick_smooth_mean,684
nick_smooth_over200,584
trainer_count,557
weight,492
trainer_smooth_over200,480
nick_count,453
price_man,436
trainer_smooth_mean,412
cannon,300
bms_name_smooth_mean,269
chest,263
bms_name_count,238
bms_name_smooth_over200,235
height,216
sire_smooth_over200,145
sire_smooth_mean,106
sire_count,96
sex_num,74
birth_month,56
farm_smooth_mean,34
farm_count,26
farm_smooth_over200,0
