feature,importance
weight,765
cannon,712
trainer_smooth_mean,617
trainer_smooth_over200,611
sire_smooth_over200,584
height,505
birth_month,445
chest,416
sire_smooth_mean,383
total_price_man,317
trainer_count,245
sire_count,211
sex_num,127
price_per_kuchi_man,65
