feature,importance
trainer_smooth_over200,1179
trainer_count,838
total_price_man,783
trainer_smooth_mean,716
sire_smooth_mean,684
sire_smooth_over200,620
birth_month,409
sire_count,251
farm_count,242
sex_num,163
price_per_kuchi_man,144
club_enc,0
farm_smooth_mean,0
farm_smooth_over200,0
